user_id,name,email,signup_date
U0001,User1,user1@example.com,2025-04-10
U0002,User2,user2@example.com,2024-01-02
U0003,User3,user3@example.com,2024-08-11
U0004,User4,user4@example.com,2024-04-14
U0005,User5,user5@example.com,2023-08-30
U0006,User6,user6@example.com,2023-03-29
U0007,User7,user7@example.com,2024-05-30
U0008,User8,user8@example.com,2025-03-22
U0009,User9,user9@example.com,2024-06-18
U0010,User10,user10@example.com,2024-10-05
U0011,User11,user11@example.com,2024-04-23
U0012,User12,user12@example.com,2024-11-09
U0013,User13,user13@example.com,2025-03-25
U0014,User14,user14@example.com,2024-05-07
U0015,User15,user15@example.com,2025-01-18
U0016,User16,user16@example.com,2025-08-14
U0017,User17,user17@example.com,2023-06-18
U0018,User18,user18@example.com,2024-12-19
U0019,User19,user19@example.com,2023-07-11
U0020,User20,user20@example.com,2023-11-20
U0021,User21,user21@example.com,2024-03-23
U0022,User22,user22@example.com,2023-10-01
U0023,User23,user23@example.com,2023-02-22
U0024,User24,user24@example.com,2023-06-15
U0025,User25,user25@example.com,2023-04-24
U0026,User26,user26@example.com,2023-04-07
U0027,User27,user27@example.com,2023-01-03
U0028,User28,user28@example.com,2025-04-14
U0029,User29,user29@example.com,2024-02-19
U0030,User30,user30@example.com,2023-02-05
U0031,User31,user31@example.com,2024-11-23
U0032,User32,user32@example.com,2024-08-06
U0033,User33,user33@example.com,2025-04-04
U0034,User34,user34@example.com,2023-09-25
U0035,User35,user35@example.com,2023-02-10
U0036,User36,user36@example.com,2025-09-05
U0037,User37,user37@example.com,2023-07-12
U0038,User38,user38@example.com,2023-03-15
U0039,User39,user39@example.com,2023-02-08
U0040,User40,user40@example.com,2024-11-09
U0041,User41,user41@example.com,2023-09-30
U0042,User42,user42@example.com,2023-05-15
U0043,User43,user43@example.com,2023-03-19
U0044,User44,user44@example.com,2024-01-09
U0045,User45,user45@example.com,2023-04-26
U0046,User46,user46@example.com,2023-02-11
U0047,User47,user47@example.com,2024-01-13
U0048,User48,user48@example.com,2023-05-29
